Patch,Male Egg,Female Egg,Male Larva,Female Larva,Male Pupa,Female Pupa,WildMale,SterileMale,YoungFemale,FertileFemale,MatedFemale,SterileFemale
0,1000,1000,0,0,0,0,0,0,0,0,0,0
1,1000,1000,0,0,0,0,0,0,0,0,0,0
